id,title_spanish,title_english,director,raw_line,raw_text
155,"Asesina, La",Point of no return,John Badham,"155 Asesina, La = Point of no return Dir. John Badham","155 Asesina, La = Point of no return Dir. John Badham"
156,"Asesino del Zodiaco, El",,Alexander Bulkley,"156 Asesino del Zodiaco, El Dir. Alexander Bulkley","156 Asesino del Zodiaco, El Dir. Alexander Bulkley"
157,"Asesino dentro de mi, El",,Michael Winterbottom,"157 Asesino dentro de mi, El Dir. Michael Winterbottom","157 Asesino dentro de mi, El Dir. Michael Winterbottom"
158,Asesino en serio,,Antonio Urrutia,158 Asesino en serio Dir. Antonio Urrutia,158 Asesino en serio Dir. Antonio Urrutia
159,born killers,,,159 born killers,159 born killers
160,Así del precipicio,,Teresa Suárez,160 Así del precipicio Dir. Teresa Suárez,160 Así del precipicio Dir. Teresa Suárez
161,Así en la tierra como en el cielo,,Kay Pollak,161 Así en la tierra como en el cielo Dir. Kay Pollak,161 Así en la tierra como en el cielo Dir. Kay Pollak
162,Así era Pancho Villa,,Ismael Rodríguez,162 Así era Pancho Villa Dir. Ismael Rodríguez,162 Así era Pancho Villa Dir. Ismael Rodríguez
163,Así es la vida,,Michel Piccoli,163 Así es la vida Dir. Michel Piccoli,163 Así es la vida Dir. Michel Piccoli
164,Así se quiere en Jalisco,,Fernando de Fuentes,164 Así se quiere en Jalisco Dir. Fernando de Fuentes,164 Así se quiere en Jalisco Dir. Fernando de Fuentes
165,"Astutos, Los",,Brian De Palma,"165 Astutos, Los Dir. Brian De Palma","165 Astutos, Los Dir. Brian De Palma"
166,Ataque  a  sangre fría,,Michael Keusch,166 Ataque  a  sangre fría Dir.Michael Keusch,166 Ataque  a  sangre fría Dir.Michael Keusch
167,Ataque del dragón blanco.El,,Wilson Yip,167 Ataque del dragón blanco.El Dir. Wilson Yip,167 Ataque del dragón blanco.El Dir. Wilson Yip
168,"Atentado, El",,Jorge Fons,"168 Atentado, El Dir. Jorge Fons.","168 Atentado, El Dir. Jorge Fons."
169,Atrapado sin salida,,Milos Forman,169 Atrapado sin salida Dir. Milos Forman,169 Atrapado sin salida Dir. Milos Forman
170,Atrapados,,Nick Hamm,170 Atrapados Dir. Nick Hamm,170 Atrapados Dir. Nick Hamm
171,Australia,,Baz Luhrmann,171 Australia Dir. Baz Luhrmann,171 Australia Dir. Baz Luhrmann
172,"Auto,El",,Elliot Silverstei,"172 Auto,El Dir. Elliot Silverstei","172 Auto,El Dir. Elliot Silverstei"
173,"Automóvil gris,El",,y fot,"173 Automóvil gris,El Dir. y fot. Enrique Rosas.","173 Automóvil gris,El Dir. y fot. Enrique Rosas."
174,Avalancha,,Richard Pepin,174 Avalancha Dir.  Richard Pepin,174 Avalancha Dir.  Richard Pepin
175,Avalancha(alerta en la montaña),,Mark Roper,175 Avalancha(alerta en la montaña) Dir.Mark Roper..,175 Avalancha(alerta en la montaña) Dir.Mark Roper..
176,Avalon Gate to Avalon,,Mamoru Oshii,176 Avalon Gate to Avalon Dir. Mamoru Oshii.,176 Avalon Gate to Avalon Dir. Mamoru Oshii.
